Text,Target,intent
what is the interesting trivia about human bodies,129,fun_fact
i want to learn something about apples,129,fun_fact
tell me today's fun fact,129,fun_fact
i want today's fun fact please,129,fun_fact
what is today's fun fact,129,fun_fact
today's fun fact,129,fun_fact
i want a fun fact about london,129,fun_fact
tell me something interesting about bees,129,fun_fact
i would you like to learn something interesting about bees,129,fun_fact
i want to hear cool bee facts,129,fun_fact
what's something interesting about bees,129,fun_fact
i wanna hear something cool about bees,129,fun_fact
tell me fun facts on science topics,129,fun_fact
tell me fun science facts,129,fun_fact
i want to know fun facts about koala bears,129,fun_fact
please speak in tagalog,29,change_language
speak in german,29,change_language
speak to me in dutch,29,change_language
speak in french please,29,change_language
speak spanish please,29,change_language
i am not understanding the language you are responding in; switch it for me,29,change_language
i can't understand the language you are responding in; i need you to switch it,29,change_language
i need you to switch the language you are responding as i don't understand,29,change_language
i don't understand your language; switch the language,29,change_language
i need you to switch the language you are responding in,29,change_language
i'd like to speak in portuguese,29,change_language
can we speak in german,29,change_language
i want to use spanish with you,29,change_language
please let's speak in spanish,29,change_language
please can we speak in dutch,29,change_language
can you make the default language swedish,29,change_language
is it possible to talk to you in mandarin,29,change_language
would you understand me if i speak to you in navajo,29,change_language
i'd like the language to be in spanish,29,change_language
i'd like to use you using russian,29,change_language
can i speak spanish to you hombre,29,change_language
i want to start talking to you in swedish,29,change_language
can i get you to change your language setting to russian,29,change_language
please make your language setting norwegian,29,change_language
i am going to speak english now,29,change_language
do you speak english,29,change_language
i want to talk english,29,change_language
we have to speak in english,29,change_language
speak in dutch,29,change_language
i want to speak to you in swiss german,29,change_language
how long until my paycheck shows up,79,payday
can you tell me the date of my last check,79,payday
what was the date when i last go paid,79,payday
what's the date on my last pay stub,79,payday
when can i expect my paycheck,79,payday
when is the next time i'll receive a paycheck,79,payday
when did i last collect my salary,79,payday
when do i next get paid,79,payday
when is my paycheck arriving,79,payday
what day is payday,79,payday
do you know when my next check is coming,79,payday
when do i get my next paycheck,79,payday
when's pay day for me,79,payday
i need to know when i get paid next,79,payday
when's my next pay day,79,payday
what day's my pay coming next,79,payday
when do i get paid for my work,79,payday
look up when my payday is supposed to be,79,payday
when can i expect to be paid,79,payday
look up the date for my next payday,79,payday
what day will i earn my payment from work,79,payday
find out when my next upcoming payday will be,79,payday
when is the next payday i can look forward to,79,payday
what day can i expect to receive payment on,79,payday
when will my next paycheck be coming,79,payday
when will my payment be deposited,79,payday
when do i get my next pay check,79,payday
is it payday,79,payday
do you know when i'll receive my next paycheck,79,payday
what date do i get paid,79,payday
how long does it take for a credit card to be reissued and mailed to me,90,replacement_card_duration
can credit card companies expedite delivery of reissued credit cards,90,replacement_card_duration
can you call the help desk line for my credit card company,90,replacement_card_duration
how can i request a new credit card,90,replacement_card_duration
what's the phone number for my credit card company,90,replacement_card_duration
i recently lost my credit card and need to know how long it takes to get a new one mailed to me,90,replacement_card_duration
i need to know the time it takes to get a new credit card sent to someone who lost theirs,90,replacement_card_duration
i lost my credit card recently  how long does take to get a new one in the mail,90,replacement_card_duration
what is amount of time it takes to get a new credit card i lost mine recently,90,replacement_card_duration
what is the time frame for sending a customer who lost their credit card a new one,90,replacement_card_duration
will i get getting my new card anytime soon,90,replacement_card_duration
what is the shipping status of my replacement card,90,replacement_card_duration
how long until i get my replacement card,90,replacement_card_duration
when is my new card expected to arrive,90,replacement_card_duration
is my replacement card due to arrive in the mail today,90,replacement_card_duration
how long before my new card is mailed to me,90,replacement_card_duration
what is the shipping time for my card,90,replacement_card_duration
how much time before my new card is mailed to me,90,replacement_card_duration
how long does it take to get a new credit card,90,replacement_card_duration
time to order and receive a new credit card,90,replacement_card_duration
when will i received a replacement card,90,replacement_card_duration
time to replace my credit card,90,replacement_card_duration
how long before the replacement card is mailed to me,90,replacement_card_duration
how much longer before the card is mailed to me,90,replacement_card_duration
how long will it takes to get a new credit card,90,replacement_card_duration
what is the shipping wait for my card,90,replacement_card_duration
when will the replaecment card arrive,90,replacement_card_duration
let me know the wait on a replacement credit card,90,replacement_card_duration
let me know when the replacement card will arrive,90,replacement_card_duration
how soon can i expect a replacement card for my lost card to arrive,90,replacement_card_duration
i need you to tell me what time it is in new york now,4,time
"what time is it in adelaide, australia right now",4,time
is it after noon,4,time
is it six o clock yet,4,time
please give me the time in tanzania at this moment,4,time
can you tell me the current time in jamaica,4,time
"tell me the time in san francisco, please",4,time
"what time is it right now in adelaide, australia",4,time
what time is it in the eastern timezone,4,time
what time is it in the mountain timezone,4,time
what time is it in the greenwich timezone,4,time
what time is it in the central timezone,4,time
tell me what the time is in dallas,4,time
what is the current time in dallas,4,time
can you tell me what time it is in dallas,4,time
what time is it in dallas,4,time
tell time for another city: dallas,4,time
what time is it right now at home,4,time
what’s the time in new york,4,time
tell me the time in california,4,time
tell me the time in las vegas,4,time
what is the time is central time zone,4,time
what is the time in the usa,4,time
what is the time in est,4,time
whats the exact time,4,time
what is the current time,4,time
what's the current time,4,time
what time is it in california,4,time
please give me the time,4,time
the time is what,4,time
how is the status of my credit card application coming along,103,application_status
what exactly is the status of my application for the credit card,103,application_status
i need to know the status of my credit card application,103,application_status
i would like to know the status of my credit card application,103,application_status
let me know if my application for american saving bank,103,application_status
check the status of my credit card application for me,103,application_status
i want to know if my credit card application has been processed,103,application_status
i want to know the status of my credit card application,103,application_status
can you check if my credit card application has been processed,103,application_status
i want to know how is my credit card application going,103,application_status
can you let me know the status of my discover credit card application status,103,application_status
can you tell me the status of my credit card application,103,application_status
has my application for american express gone through yet,103,application_status
let me know about the status of my credit card application,103,application_status
can you please tell me about the status of my credit card application,103,application_status
can you please let me know the status of my capital one application,103,application_status
let me know the credit card application status,103,application_status
has my application for discover card gone through yet,103,application_status
can you tell me the credit card application status,103,application_status
has my application for the hsbc card been approved yet,103,application_status
please tell me if my application for the hsbc card has gone through yet,103,application_status
how far has my application for the hsbc card gone till now,103,application_status
what's the status on my application for the hsbc credit card,103,application_status
how far has my application for the hsbc card proceeded till now,103,application_status
did the application for my visa card finish,103,application_status
has my mastercard application gone through the process,103,application_status
has my mastercard application gone through yet,103,application_status
has my application for my visa card gone through,103,application_status
has my mastercard application been processed,103,application_status
when will i know if my visa card application was approved,103,application_status
what's the status of by delta flight,80,flight_status
what's the status of my virgin airlines flight,80,flight_status
what's the status of my jetblue flight,80,flight_status
what's the status of my southwest flight,80,flight_status
what's the status of my american airlines flight,80,flight_status
what's the news with my delta flight,80,flight_status
where is my delta flight,80,flight_status
what can you tell me about flight dl123,80,flight_status
where is flight dl123,80,flight_status
has flight dl123 left,80,flight_status
is flight dl123 going to arrive on time,80,flight_status
is my spirit flight running on time,80,flight_status
what's the status for my delta flight this afternoon,80,flight_status
give me the status on my united airlines flight,80,flight_status
what's up with my american airline flight will it be on time,80,flight_status
tell me what the status is for my aa flight,80,flight_status
i need for you to get me the status of my american airlines flight,80,flight_status
tell me the status of my american airlines flight,80,flight_status
i need to know the status of my american airlines flight,80,flight_status
would you let me know the status of my american airlines flight,80,flight_status
let me know the status of my american airlines flight,80,flight_status
has flight dl123 landed,80,flight_status
"is my flight, dl123 on time",80,flight_status
how far out is flight dl123,80,flight_status
is flight dl123 delayed,80,flight_status
what time is boarding scheduled,80,flight_status
when is boarding scheduled,80,flight_status
what time is boarding for my flight,80,flight_status
when is boarding scheduled for my flight,80,flight_status
when is my flight scheduled to board,80,flight_status
flip a coin for me and i call heads,33,flip_coin
can you flip a coin for me,33,flip_coin
give me the results of a coin flip,33,flip_coin
please flip a coin for me,33,flip_coin
please flip a coin for me ai,33,flip_coin
flip a coin and tell me if it's heads,33,flip_coin
"ai, flip a coin for me",33,flip_coin
"ai, please flip a simulated coin",33,flip_coin
let's flip a coin i choose heads,33,flip_coin
can you please do a simulated coin flip for me ai,33,flip_coin
flip a coin i choose heads,33,flip_coin
flip a coin i'm calling heads,33,flip_coin
can you do a coin flip for me ai,33,flip_coin
i want you to flip a coin i choose heads,33,flip_coin
just toss a coin,33,flip_coin
just flip a coin,33,flip_coin
throw a coin in the air,33,flip_coin
flip a coin into the air,33,flip_coin
"heads, coin flip",33,flip_coin
"flip coin, heads!",33,flip_coin
"flip a coin, i call heads!",33,flip_coin
"coin flip, choose heads",33,flip_coin
"please flip a coin, i choose heads!",33,flip_coin
can you flip a coin i call heads,33,flip_coin
"flip a coin, i'm heads",33,flip_coin
"flip a coin, heads",33,flip_coin
"flip us a coin, i call heads",33,flip_coin
"flip a coin, you're tails and i'm heads",33,flip_coin
give me a coin toss result,33,flip_coin
"flip the coin, i choose heads",33,flip_coin
bob is my name now,144,change_user_name
please start calling me bob,144,change_user_name
change my name to bob,144,change_user_name
call me bob from now on,144,change_user_name
don't call me bill anymore - call me bob,144,change_user_name
i want you to call me bailey,144,change_user_name
don't call me anything besides bailey,144,change_user_name
refer to me as bailey,144,change_user_name
"address me as ""bailey",144,change_user_name
please call me bailey,144,change_user_name
can you call me a different name,144,change_user_name
could you call me a different name,144,change_user_name
"could you call me a different name, please",144,change_user_name
"could you call me by a different name, please",144,change_user_name
"can you call me a different name, please",144,change_user_name
"ai, my name is deb please use my name when you talk to me",144,change_user_name
ai answer my questions with my name first which is deb,144,change_user_name
"ai, refer to me as deb when answering me",144,change_user_name
"ai, address me as deb when speaking to me",144,change_user_name
"ai, call me deb",144,change_user_name
change my name please,144,change_user_name
please go ahead and change my name,144,change_user_name
please switch my name,144,change_user_name
change name for me,144,change_user_name
my name is going to be sherlock,144,change_user_name
start calling me jake from now on,144,change_user_name
call me shane,144,change_user_name
i want you to call me sheldon,144,change_user_name
i want to be called timothy,144,change_user_name
call me mike from now on,144,change_user_name
where are you coming from,77,where_are_you_from
from where do you come,77,where_are_you_from
what place are you from,77,where_are_you_from
where are you from originally,77,where_are_you_from
"so, where do you come from",77,where_are_you_from
so where do you come from originally,77,where_are_you_from
where do you call home,77,where_are_you_from
what's your home country,77,where_are_you_from
where did you live before you moved here,77,where_are_you_from
are you from here or somewhere else originally,77,where_are_you_from
tell me where you're from,77,where_are_you_from
what area did you come from,77,where_are_you_from
what is your origin,77,where_are_you_from
where was it you were born,77,where_are_you_from
the place you were born is,77,where_are_you_from
what location were you born,77,where_are_you_from
where were you put together,77,where_are_you_from
where is your home planet,77,where_are_you_from
where is your home town,77,where_are_you_from
where were you thought of,77,where_are_you_from
where do you originate from,77,where_are_you_from
where have you come from,77,where_are_you_from
where were you before,77,where_are_you_from
where were you processed,77,where_are_you_from
a hidden government facility,77,where_are_you_from
what region were you born,77,where_are_you_from
from where did you originate,77,where_are_you_from
are you from around here,77,where_are_you_from
in what place are you originally from,77,where_are_you_from
where did you grow up,77,where_are_you_from
tack on a gallon of milk to the grocery list,125,shopping_list_update
add laundry detergent to the list,125,shopping_list_update
make sure to put eggs on the grocery list,125,shopping_list_update
the list should also have 2 loaves of bread,125,shopping_list_update
include asparagus on the list,125,shopping_list_update
remove milk and add eggs to my shopping list,125,shopping_list_update
put milk on my shopping list,125,shopping_list_update
i'd like to add pancake mix to my shopping list if it's not already there,125,shopping_list_update
"if soda isn't on my shopping list, go ahead and add it for me",125,shopping_list_update
add milk to my shopping list,125,shopping_list_update
take toilet paper off my shopping list,125,shopping_list_update
i need to add flour to my list for shopping if i haven't already,125,shopping_list_update
take toilet paper off my shopping list and add paper towels,125,shopping_list_update
i need hot dogs added to my shopping list please,125,shopping_list_update
please put chips on my shopping list,125,shopping_list_update
"is milk in my shopping list if not, add it",125,shopping_list_update
can you add eggs to my shopping list,125,shopping_list_update
add eggs to my shopping list if it's not already there,125,shopping_list_update
i'd like to get soda while i'm out; add it to my shopping list,125,shopping_list_update
"on my shopping list, remove eggs",125,shopping_list_update
i need eggs; add them to my shopping list,125,shopping_list_update
"take soda from my shopping list, and while you're at it add tea",125,shopping_list_update
milk should be added to my shopping list,125,shopping_list_update
"i don't need eggs anymore, but i do need milk",125,shopping_list_update
take paper towels off of my shopping list,125,shopping_list_update
i need milk on my shopping list,125,shopping_list_update
i don't need toilet paper anymore; take it off my shopping list,125,shopping_list_update
"throw eggs on my shopping list, please",125,shopping_list_update
i need water on my shopping list and beer off of it,125,shopping_list_update
i need bananas on the list too,125,shopping_list_update
can you tell me what you can help with,115,what_can_i_ask_you
what things are you able to help me with,115,what_can_i_ask_you
i would like to know what you can help with,115,what_can_i_ask_you
what kind of things can you help with,115,what_can_i_ask_you
i want to know what type of things you can help me with,115,what_can_i_ask_you
please help me to know what type of things you can help me with,115,what_can_i_ask_you
can i know what type of things you can help me with,115,what_can_i_ask_you
i would like to know what type of things you can help me with,115,what_can_i_ask_you
i will be glad to know what type of things you can help me with,115,what_can_i_ask_you
what subjects do you like,115,what_can_i_ask_you
tell me what subjects you like,115,what_can_i_ask_you
please tell me what subjects you like,115,what_can_i_ask_you
so what subjects do you like,115,what_can_i_ask_you
what type of questions can i ask you,115,what_can_i_ask_you
what kinds of things are you familiar with,115,what_can_i_ask_you
what subjects are you experienced in,115,what_can_i_ask_you
what knowledge do you have on certain subjects,115,what_can_i_ask_you
what kid of subjects do you excel in,115,what_can_i_ask_you
what subjects or areas are you familiar with,115,what_can_i_ask_you
which subjects are you the most experienced with,115,what_can_i_ask_you
tell me what you can do for me,115,what_can_i_ask_you
what sorts of tasks can you do,115,what_can_i_ask_you
what can you do for me,115,what_can_i_ask_you
what can you do to make yourself useful,115,what_can_i_ask_you
what would you be able to do with me,115,what_can_i_ask_you
give me examples of what to ask you,115,what_can_i_ask_you
tell me what types of questions i can ask you,115,what_can_i_ask_you
what are you programmed to do for me,115,what_can_i_ask_you
what things do you know how to do,115,what_can_i_ask_you
how can you help me,115,what_can_i_ask_you
undecided,121,maybe
i'm afraid i don't know how to answer that,121,maybe
might,121,maybe
it might go either way,121,maybe
both could be,121,maybe
either or,121,maybe
my answer would be maybe,121,maybe
either one might be,121,maybe
i can't say for certain either way,121,maybe
it could go either way,121,maybe
it's definitely a maybe for that,121,maybe
i am not sure,121,maybe
maybe it is,121,maybe
i can't say,121,maybe
could be,121,maybe
i am unable to say,121,maybe
i am not able to say,121,maybe
i am really not sure,121,maybe
i do not know,121,maybe
not sure,121,maybe
not sure to be honest,121,maybe
i think maybe,121,maybe
"um, i'm not quite sure",121,maybe
"um, i'm not totally sure",121,maybe
"um, i'm not actually sure",121,maybe
i'm not actually sure,121,maybe
"um, i'm not sure",121,maybe
that might be the case,121,maybe
i'm not completely certain,121,maybe
unsure,121,maybe
help me change my oil,3,oil_change_how
what oil should i use for an oil change and how do i do it,3,oil_change_how
how do i do an oil change,3,oil_change_how
diy oil change,3,oil_change_how
how to do an oil change,3,oil_change_how
give me instructions for an oil change,3,oil_change_how
diy oil change and oil type,3,oil_change_how
oil type and do it yourself oil change information please,3,oil_change_how
i want to know how to change my oil,3,oil_change_how
can you tell me how to change my oil and what kind i use,3,oil_change_how
how to change oil and what oil type,3,oil_change_how
can you please instruct me on the proper way to change the oil in my car,3,oil_change_how
i need guidance on changing my oil,3,oil_change_how
i want a step by step explanation of how to change the oil in my car,3,oil_change_how
can you teach me how to change my oil,3,oil_change_how
can you teach me how to change my oil in my car,3,oil_change_how
help me figure out how to change my oil,3,oil_change_how
walk me through the steps involved in changing my oil,3,oil_change_how
give me step by step instructions for changing my oil,3,oil_change_how
i want to change the oil in my car but i do not know how to do it can you help,3,oil_change_how
put together a list of instructions for me on how to change the oil in my car,3,oil_change_how
